id,Brand,Description,Rating,Price
109,ZIYAA,Women Green & White Self Design Kurta with Trousers,3.4,Rs. 767
110,Anouk,Women Navy Blue Printed Kurta with Palazzos,4.2,Rs. 1124
111,Sangria,Women Maroon Solid A-Line Kurta,4.2,Rs. 999
112,KALINI,Women Pink Floral Printed Empire Pure Cotton Kurta & Trousers With Dupatta,4.2,Rs. 1599
113,Fabindia,Women Green & Golden Abstract Print Regular Pure Cotton Kurta with Palazzos,3.8,Rs. 2719
114,heemara,Women Purple Floral Embroidered Silk Chiffon Kurta with Trousers & With Dupatta,3.8,Rs. 1253
115,KALINI,White Floral Printed Angrakha Gotta Patti Pure Cotton Kurta with Trousers & Dupatta,4.4,Rs. 1249
116,Anouk,Women Pink & White Striped Kurta,4.3,Rs. 749
117,Khushal K,Women Green & Pink Printed Pure Cotton Kurta with Palazzos & Dupatta,3.8,Rs. 1589
118,GoSriKi,Women Green Yoke Design Kurta with Trousers & Dupatta,4.2,Rs. 998
119,Fabindia,Women Fuchsia & Golden Checked Straight Kurta,4.9,Rs. 1199
120,Sangria,Women Off White & Peach-Coloured Floral Print Straight Cotton Kurta with Trousers,4.3,Rs. 899
121,7Threads,7threads Women White Tribal Printed Quirky Kurta,3.9,Rs. 399
122,Popnetic,Women Pink & White Block Printed Straight Kurta,4.0,Rs. 419
123,anayna,Women Lime Green & Off White Bandhani Screen Print Cotton Angrakha Kurta,4.2,Rs. 989
124,Yuris,Women Brown & Black Printed Pure Cotton Kurta with Palazzos & Dupatta,4.2,Rs. 1224
125,Vishudh,Women Olive Green Printed Kurta with Palazzos,4.4,Rs. 979
126,Libas,Women Black & White Printed Kurta with Palazzos & Dupatta,4.2,Rs. 1403
127,Anouk,Women Navy Blue Printed Straight Kurta,4.1,Rs. 519
128,Sangria,Women Black Solid Straight Kurta,4.2,Rs. 679
129,AHIKA,Women Black & Mustard Yellow Floral Print Straight Kurta,3.8,Rs. 539
130,Anouk,Women Fuchsia Pink & Black Striped A-Line Kurta,4.1,Rs. 679
131,Sangria,Women Navy Blue Printed Straight Kurta,4.2,Rs. 649
132,anayna,Women Beige & Green Printed Kurta with Trousers,4.3,Rs. 1049
133,AHIKA,Women Teal Ethnic Motifs Yoke Design Kurta with Trousers & With Dupatta,4.2,Rs. 974
134,HERE&NOW,Women Coral Orange & Off White Geometric Printed Straight Kurta,4.4,Rs. 999
135,AHIKA,Women Coral Pink & Off-White Floral Printed Straight Kurta,4.0,Rs. 527
136,Anouk,Women White Ethnic Motifs Embroidered Panelled Pure Cotton Kurta with Trousers,4.0,Rs. 1549
137,Prakhya,Women Pink Embroidered Kurta with Trousers & Dupatta,4.0,Rs. 1439
138,Biba,Women Blue & Yellow Ethnic Motifs Printed Sequined Kurta,4.4,Rs. 804
139,Anouk,Women Black & Pink Pure Cotton Ethnic Motifs Printed Kurta,4.0,Rs. 439
140,KALINI,Women Pink Gotta Patti Pure Cotton Kurti with Trousers & Dupatta,4.0,Rs. 879
141,Anouk,Women Navy Blue & Off White Ethnic Motifs Printed Indigo Pure Cotton Kurta,4.2,Rs. 374
142,Inddus,Women Green & White Striped Embroidered Sequinned Kurta with Sharara & Dupatta,4.3,Rs. 2359
143,Anouk,Women Purple & White Printed Straight Fusion High Slit Kurta,4.3,Rs. 749
144,Fabindia,Women Pink Embroidered Kurta,4.7,Rs. 2490
145,HERE&NOW,Women Blue Ethnic Motifs Printed Regular Kurta with Trousers,4.1,Rs. 719
146,Anouk,Women Blue & White Printed Kurta,4.0,Rs. 439
147,Anubhutee,Women Pink & White Printed Kurta with Trousers & Dupatta,4.2,Rs. 1019
148,Anouk,Women Maroon & Golden Printed Anarkali Kurta,4.4,Rs. 1214
149,Ahalyaa,Stylish Black Polyester Kaftan Kurta,4.3,Rs. 1099
150,Sangria,Women Mustard Yellow Bandhani Printed Panelled Kurta with Trousers,4.1,Rs. 999
151,Anouk,Women Pink & Yellow Floral Printed Cowl Neck Floral Kurta,4.0,Rs. 539
152,HERE&NOW,Women Purple Bandhani Printed Pure Cotton Kurta with Trousers,3.8,Rs. 1079
153,Varanga,Women Magenta Ethnic Motifs Kurta with Trousers & With Dupatta,4.1,Rs. 1676
154,Anubhutee,Women Mustard Yellow & Brown Screen Printed Straight Kurta,4.2,Rs. 577
155,Indo Era,Solid Cotton Blend Kurta Set,4.2,Rs. 1655
156,Anouk,Women Blue & Gold-Toned Printed Straight Kurta,4.2,Rs. 899
157,Varanga,Women Teal & Silver-Toned Embellished A-Line Kurta,4.0,Rs. 987
158,Anouk,Women Lavender Ethnic Motifs Printed Pure Cotton Kurta with Palazzos & With Dupatta,4.1,Rs. 1289
159,ZIYAA,Women Black Ethnic Motifs Printed Layered Kurta with Trousers,3.6,Rs. 775
160,Nayo,Plus Size Women Navy Blue Ethnic Motifs Pure Cotton Kurta with Palazzos & Dupatta,4.4,Rs. 1574
161,anayna,Women Blue & White Geometric Screen Print Cotton Fusion Kurta,4.5,Rs. 581
162,AHIKA,Women Red Printed Straight Kurta,4.1,Rs. 503
163,Anouk,Women Blue Ethnic Motifs Printed Regular Pure Cotton Kurta with Palazzos,3.9,Rs. 989
164,Prakhya,Women Navy Blue Floral Printed Kurta with Trousers,4.4,Rs. 1493
165,Sangria,Women Purple & Gold-Coloured Printed A-Line Kurta,3.8,Rs. 749
166,Jaipur Kurti,Women Navy Blue Yoke Design Kurta with Trousers,4.0,Rs. 857
167,Anouk,Women Black & Grey Printed Kurta with Dhoti Pants & Stole,4.0,Rs. 1149
168,Azira,Women Navy Blue & Off-White Solid Kurta with Palazzos & Ethnic Jacket,4.3,Rs. 999
169,Yufta,Women Beige & Blue Printed Kurta with Palazzos,4.3,Rs. 989
170,Jaipur Kurti,Women Pink Solid Straight Kurta,4.3,Rs. 524
171,Moda Rapido,Women Blue Printed A-Line Kurta,4.0,Rs. 679
172,HERE&NOW,Women Grey & Blue Printed Straight Kurta,4.2,Rs. 349
173,DIVYANK,Women Green & Yellow Bandhani Printed Anarkali Kurta,4.1,Rs. 619
174,W,Women Lavender Pure Cotton Yoke Design Straight Kurta,3.9,Rs. 874
175,ZIYAA,Women Magenta & Black Yoke Design Kurta with Trousers,3.7,Rs. 753
176,Soch,Women Blue Ethnic Motifs Embroidered Thread Work Georgette Kurta,5.0,Rs. 2998
177,Anouk,Women Purple Floral Printed Regular Pure Cotton Kurta with Palazzos,3.7,Rs. 539
178,Indo Era,Women Pink & Gold-Coloured Solid Kurta with Palazzos & Dupatta,4.1,Rs. 1775
179,Libas,Women Blue Floral Printed Gotta Patti Cotton Kurta,3.8,Rs. 1399
180,Sangria,Women White & Navy Blue Printed Kurta with Trousers,4.1,Rs. 1199
181,Anouk,Women Blue & Beige Printed Straight Kurta,4.0,Rs. 839
182,ZIYAA,Women Red Ethnic Motifs Foil Printed Panelled Kurta with Trousers,3.6,Rs. 740
183,HERE&NOW,Women Red Ethnic Motifs Yoke Design Kurta with Trousers & Dupatta,4.0,Rs. 719
184,Anouk,Women White & Navy Blue Printed Straight Kurta,4.3,Rs. 749
185,Sangria,Women Green Regular A-Line Kurta & Trousers With Dupatta,4.1,Rs. 1639
186,Anouk,Women Coffee Brown & Yellow Ethnic Motifs Print Pure Cotton Straight Kurta,4.3,Rs. 1154
187,Ishin,Women Red & Orange Bandhani Print Anarkali Kurta,4.2,Rs. 1999
188,Anouk,Women Purple Ethnic Motifs Yoke Design Regular Thread Work Pure Cotton Kurta with Palazzos,3.7,Rs. 799
189,anayna,Women Navy Blue & Rust Orange Printed Straight Kurta,4.4,Rs. 564
190,Vishudh,Women Blue & Pink Floral Print A-Line Kurta,4.2,Rs. 764
191,Libas,Women Black & Grey Striped Straight Kurta,4.5,Rs. 824
192,Varanga,Women Purple & Off White Leheriya Striped Gotta Patti Kurta,4.2,Rs. 989
193,Libas,Women Pink Geometric Printed Gotta Patti Cotton Kurta,3.5,Rs. 1399
194,anayna,Women Blue & White Geometric Screen Print Cotton Fusion Kurta,4.5,Rs. 581
195,AHIKA,Women Red Printed Straight Kurta,4.1,Rs. 503
196,Anouk,Women Blue Ethnic Motifs Printed Regular Pure Cotton Kurta with Palazzos,3.9,Rs. 989
197,Prakhya,Women Navy Blue Floral Printed Kurta with Trousers,4.4,Rs. 1493
198,Sangria,Women Purple & Gold-Coloured Printed A-Line Kurta,3.8,Rs. 749
199,Jaipur Kurti,Women Navy Blue Yoke Design Kurta with Trousers,4.0,Rs. 857
200,Anouk,Women Black & Grey Printed Kurta with Dhoti Pants & Stole,4.0,Rs. 1149
201,Azira,Women Navy Blue & Off-White Solid Kurta with Palazzos & Ethnic Jacket,4.3,Rs. 999
202,Yufta,Women Beige & Blue Printed Kurta with Palazzos,4.3,Rs. 989
203,Jaipur Kurti,Women Pink Solid Straight Kurta,4.3,Rs. 524
204,AHIKA,Women Blue Ethnic Motifs Printed Chikankari Kurta,3.8,Rs. 294
205,FASHOR,Women Pink Ethnic Motifs Yoke Design Embroidered Pure Cotton Kurta,3.5,Rs. 1049
206,Soch,Women Black Solid A-Line Kurta,4.3,Rs. 899
207,Moda Rapido,Women Thread Work Straight Cotton Kurta,3.9,Rs. 699
208,Libas,Women Navy Blue Striped Straight Kurta,4.3,Rs. 659
209,Anouk,Women Red & Silver-Toned Ethnic Motifs Foil Printed Kurta,4.5,Rs. 599
210,Libas,Women Off White Ethnic Motifs Printed Pleated Pure Cotton Kurta with Churidar & With Dupatta,4.2,Rs. 1539
211,Anouk,Women Maroon & Navy Blue Printed Kurta with Palazzos,4.4,Rs. 1199
212,Ishin,Women Pink Embroidered Kurta with Trousers & Dupatta,3.9,Rs. 2699
213,HERE&NOW,Women Burgundy & White Striped Straight Kurta,4.0,Rs. 639
214,Anouk,Women Blue Printed Tiered A-Line Kurta,4.2,Rs. 639
215,Anouk,Women Mustard Yellow Printed Regular Pure Cotton Kurta with Trousers,3.8,Rs. 759
216,Yuris,Women Yellow & White Printed Kurta with Sharara & Dupatta,4.3,Rs. 1504
217,HERE&NOW,Women Teal Blue & White Printed A-Line Kurta,4.1,Rs. 799
218,Libas,Women Maroon Floral Printed Regular Chanderi Silk Kurta with Palazzos & Dupatta,4.5,Rs. 1539
219,Vishudh,Women Orange Printed A-Line Kurta,4.1,Rs. 499
220,HERE&NOW,Women Blue Checked Straight Kurta,4.0,Rs. 749
221,KALINI,Women Pink Printed Regular Pure Cotton Kurta with Trousers & With Dupatta,3.8,Rs. 959
222,Anouk,Women Peach-Coloured & Teal Blue Ethnic Printed Pure Cotton Kurta with Culottes,3.9,Rs. 539
223,Indo Era,Folksy Floral Screen Print Cotton Kurta Set,4.2,Rs. 2149
224,Fabindia,Women Pink Solid Kurta,4.6,Rs. 2299
225,KALINI,Women Green & Yellow Ethnic Motifs Printed Thread Work Anarkali Kurta,4.2,Rs. 899
226,Stylum,Women Black & Golden Ethnic Motifs Kurta Set,4.6,Rs. 799
227,Stylum,Women Burgundy Ethnic Motifs Printed Anarkali Kurta,4.4,Rs. 671
228,Libas,Women Black Yoke Design Mirror Work Kurta,4.6,Rs. 824
229,Sangria,Women Blue & Red Ethnic Motifs Printed Kurta,4.0,Rs. 679
230,Anouk,Women Blue Geometric Printed Kurta,4.6,Rs. 479
231,Libas,Women White & Silver Geometric Gotta Patti Kurta,4.3,Rs. 679
232,Vishudh,Women Black Striped Kurta with Palazzos,4.1,Rs. 644
233,Varanga,Women Blue & Silver Sequinned Yoke Design Kurta with Trousers & Dupatta,3.9,Rs. 1379
234,AHIKA,Women Pink Ethnic Motifs Printed Kurta,3.6,Rs. 294
235,Libas,Women Green Regular Gotta Patti Pure Cotton Kurta with Palazzos & Dupatta,4.2,Rs. 1154
236,Sangria,Women Mustard Yellow & White Printed Pure Cotton Straight Kurta,4.0,Rs. 659
237,Libas,Women Pink Floral Yoke Design Indie Prints Kurta,4.2,Rs. 1799
238,Nayo,Women Black & White Floral Printed Straight Kurta,4.2,Rs. 604
239,Inddus,Women Earthy Lime Green Embroidered Kurta Set with Aari Work Dupatta,4.0,Rs. 2687
240,anayna,Women Yellow & Green Printed Pure Cotton Feeding Maternity A-Line Kurta,4.0,Rs. 998
241,Vishudh,Women Blue Floral Printed Regular Kurta with Palazzos,4.3,Rs. 892
242,max,Women Grey & White Thread Work Kurta,4.3,Rs. 599
243,Libas,Women Green & Gold-Toned Floral Embroidered Gotta Patti Chanderi Silk Kurta,4.2,Rs. 755
244,Varanga,Women Navy Blue & Beige Ethnic Motifs Printed Keyhole Neck Gotta Patti Kurta,4.3,Rs. 791
245,Napra,Pink Floral Embroidered Georgette A-Line Kurta,4.0,Rs. 629
246,Libas,Women Yellow Paisley Embroidered Chikankari Cotton Kurta,3.8,Rs. 1999
247,KALINI,Women White Floral Printed Pure Cotton Kurta with Salwar & With Dupatta,4.3,Rs. 1249
248,Varanga,Women Teal Floral Embroidered Kurta with Trousers & Dupatta,3.8,Rs. 1959
249,Moda Rapido,Women Blue & White Printed Pure Cotton Kurta with Palazzos,4.0,Rs. 959
250,Libas,Women Multicoloured Floral Printed Floral Kurta,4.6,Rs. 1399
251,Soch,Women Pink Straight Embroideredn Kurta,4.3,Rs. 649
252,Stylum,Women Mustard Yellow Ethnic Motifs Yoke Design Pleated Gotta Patti Kurti with Dhoti Pants,4.1,Rs. 780
253,Anouk,Women Black Solid Straight Kurta,3.8,Rs. 449
254,Indo Era,Women Navy Blue Printed Kurta with Trousers & Dupatta,4.4,Rs. 1559
255,Libas,Women Green Regular Pure Cotton Kurta with Palazzos & Dupatta,4.3,Rs. 1319
256,Indo Era,All-Over Ethnic Motif Screen Printed Navy Blue & Off-White Pleated Kurta,4.1,Rs. 959
257,Anouk,Women Teal Green & White Printed Pure Cotton Kurta with Palazzos,4.1,Rs. 1169
258,HERE&NOW,Women Blue & Off-White Printed Straight Kurta,4.0,Rs. 419
259,ZIYAA,Women Pink & White Printed Kurta with Trousers,3.2,Rs. 753
260,Indo Era,Women Blue Floral Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta,4.2,Rs. 2155
261,Ahalyaa,Women Maroon & Gold Printed Kurti with Sharara & Dupatta,4.2,Rs. 1871
262,Indo Era,Women Red Ethnic Motifs Printed Regular Kurta with Trousers & Dupatta,4.4,Rs. 2559
263,Yuris,Women Blue & Peach-Coloured Printed Kurta with Trousers & Dupatta,4.3,Rs. 1199
264,mokshi,Women Mustard Yellow & Green Floral Print A-Line Kurta,4.2,Rs. 703
265,KALINI,Women Maroon & Gold-Toned Ethnic Motifs Printed Flared Sleeves Gotta Patti Anarkali Kurta,4.0,Rs. 999
