,filename,link
67,1059.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11066882/2020/1/13/7c708a55-fcee-45a4-901d-da0dffa5cb491578911582522-Popnetic-Women-Green--Golden-Printed-Straight-Kurta-71015789-1.jpg"
68,106.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15055280/2021/8/23/cc05048f-e86b-46da-b2da-420fabb59cf11629694542345-Libas-Women-Kurta-Sets-1261629694541678-1.jpg"
69,1060.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10808290/2019/10/30/3573b361-8560-4aad-bcf6-265ad635ef581572423341928-AHIKA-Women-Kurtas-2491572423340722-1.jpg"
70,1061.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8799255/2021/5/25/dfeb8ec0-ec69-4e9d-b76a-8fa862427beb1621931980503-HERENOW-Women-Sea-Green--White-Printed-Straight-Kurta-150162-1.jpg"
71,1062.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9088493/2019/4/2/70b89c69-c5d5-40a3-b0f7-d4454529d73c1554192765727-Libas-Women-Kurtas-3181554192764773-1.jpg"
72,1063.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1484152/2019/5/31/537d1d1e-648a-4d8e-80df-0a7ffa86cb741559294786938-Vishudh-Women-Pink-Printed-A-Line-Kurta-2991559294785427-1.jpg"
73,1064.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2102195/2018/11/21/9d3197f0-2b12-4050-bfaa-d75560fed48d1542777790820-Vishudh-Women-Teal-Blue-Printed-A-Line-Kurta-9661542777790645-1.jpg"
74,1065.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15313480/2021/9/8/374d8a6c-c74e-40c9-b556-0face4c887931631092427946-Libas-Women-Yellow--Grey-Ethnic-Motifs-Printed-Pure-Cotton-K-1.jpg"
75,1066.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8969717/2019/3/28/e448c9a1-3a0f-40e7-b267-1bf44a44ba501553778956208-Indo-Era-Beige-Solid-Straight-Kurta-Sets-9801553778954623-1.jpg"
76,1067.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16988744/2022/2/23/f4c963e6-dd44-439b-80f2-e10e1b608adb1645558630984KALINIWomenBluePrintedDress1.jpg"
77,1068.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10265935/2019/7/26/2367e212-2ac8-4c42-98ed-6dc3c79261371564119180239-Jompers-Women-Green--Blue-Printed-Anarkali-Kurta-78215641191-1.jpg"
78,1069.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16904824/2022/1/28/0f3a0b4d-686d-4d48-a8a6-79fe6d612cc61643390570899-KALINI-Women-Navy-Blue--White-Yoke-Design-Empire-Kurta-with--1.jpg"
79,107.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/5/29/74fdcee4-a8b0-4b36-b563-a079d5ca99391622263128893-1.jpg"
80,1070.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10698560/2019/10/11/6e3da7d4-dd29-41db-9f5a-3c4b9c53bc571570795820347-anayna-Women-Pink-Striped-Kurta-with-Trousers--Dupatta-69215-1.jpg"
81,1071.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11056090/2019/12/5/7e782f32-c0f0-417e-a399-1e25ca1c00061575554795740-AHIKA-Women-Pink--Gold-Toned-Printed-Straight-Kurta-45215755-1.jpg"
82,1072.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17068422/2022/2/7/e94026a4-b108-4e49-b1a0-df074c046cb41644216837630maxWomenGreenFloralPrintedThreadWorkKurta1.jpg"
83,1073.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11201536/2020/2/11/6b5b3442-b0ec-4365-a3ab-f6567620db021581416079076-Anouk-Women-Kurtas-3881581416077880-1.jpg"
84,1074.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13769548/2021/3/24/99554cf4-00eb-4e80-a5c1-3c246c4222361616581464365-Indo-Era-Navy-Blue-Printed-A-line-Kurta-Trouser-With-Dupatta-1.jpg"
85,1075.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8529019/2019/1/23/5d6a8e02-0fa0-4770-82f5-6b52d9c983561548242338312-Varanga-mustard-printed-straight-kurta-6361548242336928-1.jpg"
86,1076.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15258012/2022/1/31/bd3d8229-8cc1-4887-a17d-5b794c9f14771643600904044-Libas-Women-Pink-Floral-Printed-Regular-Kurta-with-Sharara---1.jpg"
87,1077.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13789786/2021/4/6/a61a1af2-3428-4107-a2e4-ab92a50cea821617704175236-Anouk-Women-Kurta-Sets-981617704172838-1.jpg"
88,1078.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1943380/2018/4/13/11523618593397-Vishudh-Women-Black-Printed-A-Line-Kurta-4331523618593198-1.jpg"
89,1079.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14925646/2021/10/6/816446ea-3e4a-4164-9f94-e4d709f8792d1633513219312-Anouk-Women-Kurta-Sets-8291633513218701-7.jpg"
90,108.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/12/2/076b4071-9d71-434b-b8b1-5986d33c92871606889705788-1.jpg"
91,1080.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15216146/2021/8/21/bebf5452-4c09-4844-910e-79c7903d149d1629535754106VarangaWomenMustardYellowEthnicMotifsRegularKurtawithPalazzo1.jpg"
